Date,Day_of_Week,Journey_ID,Line,Scheduled_Departure,Hour_of_Day,Actual_Delay_Minutes
2025-11-01,Saturday,VJ1,9,07:20:00,7,13
2025-11-01,Saturday,VJ2,9,07:50:00,7,15
2025-11-01,Saturday,VJ3,9,08:30:00,8,14
2025-11-01,Saturday,VJ4,9,09:10:00,9,23
2025-11-01,Saturday,VJ5,9,09:40:00,9,7
2025-11-01,Saturday,VJ6,9,10:10:00,10,3
2025-11-01,Saturday,VJ7,9,10:40:00,10,1
2025-11-01,Saturday,VJ8,9,11:10:00,11,2
2025-11-01,Saturday,VJ9,9,11:40:00,11,1
2025-11-01,Saturday,VJ10,9,12:10:00,12,0
2025-11-01,Saturday,VJ11,9,13:10:00,13,2
2025-11-01,Saturday,VJ12,9,13:40:00,13,2
2025-11-01,Saturday,VJ13,9,14:10:00,14,1
2025-11-01,Saturday,VJ14,9,14:40:00,14,0
2025-11-01,Saturday,VJ15,9,15:10:00,15,2
2025-11-01,Saturday,VJ16,9,15:40:00,15,1
2025-11-01,Saturday,VJ17,9,16:10:00,16,13
2025-11-01,Saturday,VJ18,9,16:40:00,16,8
2025-11-01,Saturday,VJ19,9,17:10:00,17,17
2025-11-01,Saturday,VJ20,9,17:40:00,17,13
2025-11-01,Saturday,VJ21,9,18:10:00,18,44
2025-11-01,Saturday,VJ22,9,07:52:00,7,51
2025-11-01,Saturday,VJ23,9,08:22:00,8,17
2025-11-01,Saturday,VJ24,9,09:02:00,9,11
2025-11-01,Saturday,VJ25,9,09:22:00,9,20
2025-11-01,Saturday,VJ26,9,09:42:00,9,10
2025-11-01,Saturday,VJ27,9,10:12:00,10,1
2025-11-01,Saturday,VJ28,9,10:42:00,10,0
2025-11-01,Saturday,VJ29,9,11:12:00,11,1
2025-11-01,Saturday,VJ30,9,11:42:00,11,3
2025-11-01,Saturday,VJ31,9,12:12:00,12,0
2025-11-01,Saturday,VJ32,9,12:42:00,12,3
2025-11-01,Saturday,VJ33,9,13:12:00,13,2
2025-11-01,Saturday,VJ34,9,13:42:00,13,1
2025-11-01,Saturday,VJ35,9,14:12:00,14,0
2025-11-01,Saturday,VJ36,9,14:42:00,14,0
2025-11-01,Saturday,VJ37,9,15:12:00,15,2
2025-11-01,Saturday,VJ38,9,15:42:00,15,0
2025-11-01,Saturday,VJ39,9,16:12:00,16,11
2025-11-01,Saturday,VJ40,9,16:42:00,16,12
2025-11-01,Saturday,VJ41,9,17:12:00,17,10
2025-11-01,Saturday,VJ42,9H,17:42:00,17,17
2025-11-01,Saturday,VJ43,9H,18:12:00,18,12
2025-11-01,Saturday,VJ44,9H,18:42:00,18,8
2025-11-02,Sunday,VJ1,9,07:20:00,7,12
2025-11-02,Sunday,VJ2,9,07:50:00,7,12
2025-11-02,Sunday,VJ3,9,08:30:00,8,7
2025-11-02,Sunday,VJ4,9,09:10:00,9,18
2025-11-02,Sunday,VJ5,9,09:40:00,9,18
2025-11-02,Sunday,VJ6,9,10:10:00,10,1
2025-11-02,Sunday,VJ7,9,10:40:00,10,3
2025-11-02,Sunday,VJ8,9,11:10:00,11,1
2025-11-02,Sunday,VJ9,9,11:40:00,11,0
2025-11-02,Sunday,VJ10,9,12:10:00,12,3
2025-11-02,Sunday,VJ11,9,13:10:00,13,2
2025-11-02,Sunday,VJ12,9,13:40:00,13,0
2025-11-02,Sunday,VJ13,9,14:10:00,14,0
2025-11-02,Sunday,VJ14,9,14:40:00,14,2
2025-11-02,Sunday,VJ15,9,15:10:00,15,0
2025-11-02,Sunday,VJ16,9,15:40:00,15,2
2025-11-02,Sunday,VJ17,9,16:10:00,16,13
2025-11-02,Sunday,VJ18,9,16:40:00,16,22
2025-11-02,Sunday,VJ19,9,17:10:00,17,20
2025-11-02,Sunday,VJ20,9,17:40:00,17,23
2025-11-02,Sunday,VJ21,9,18:10:00,18,11
2025-11-02,Sunday,VJ22,9,07:52:00,7,6
2025-11-02,Sunday,VJ23,9,08:22:00,8,14
2025-11-02,Sunday,VJ24,9,09:02:00,9,10
2025-11-02,Sunday,VJ25,9,09:22:00,9,10
2025-11-02,Sunday,VJ26,9,09:42:00,9,15
2025-11-02,Sunday,VJ27,9,10:12:00,10,26
2025-11-02,Sunday,VJ28,9,10:42:00,10,1
2025-11-02,Sunday,VJ29,9,11:12:00,11,0
2025-11-02,Sunday,VJ30,9,11:42:00,11,0
2025-11-02,Sunday,VJ31,9,12:12:00,12,2
2025-11-02,Sunday,VJ32,9,12:42:00,12,1
2025-11-02,Sunday,VJ33,9,13:12:00,13,2
2025-11-02,Sunday,VJ34,9,13:42:00,13,3
2025-11-02,Sunday,VJ35,9,14:12:00,14,1
2025-11-02,Sunday,VJ36,9,14:42:00,14,1
2025-11-02,Sunday,VJ37,9,15:12:00,15,0
2025-11-02,Sunday,VJ38,9,15:42:00,15,2
2025-11-02,Sunday,VJ39,9,16:12:00,16,19
2025-11-02,Sunday,VJ40,9,16:42:00,16,14
2025-11-02,Sunday,VJ41,9,17:12:00,17,19
2025-11-02,Sunday,VJ42,9H,17:42:00,17,18
2025-11-02,Sunday,VJ43,9H,18:12:00,18,9
2025-11-02,Sunday,VJ44,9H,18:42:00,18,17
2025-11-03,Monday,VJ1,9,07:20:00,7,8
2025-11-03,Monday,VJ2,9,07:50:00,7,13
2025-11-03,Monday,VJ3,9,08:30:00,8,9
2025-11-03,Monday,VJ4,9,09:10:00,9,22
2025-11-03,Monday,VJ5,9,09:40:00,9,9
2025-11-03,Monday,VJ6,9,10:10:00,10,3
2025-11-03,Monday,VJ7,9,10:40:00,10,0
2025-11-03,Monday,VJ8,9,11:10:00,11,3
2025-11-03,Monday,VJ9,9,11:40:00,11,2
2025-11-03,Monday,VJ10,9,12:10:00,12,1
2025-11-03,Monday,VJ11,9,13:10:00,13,3
2025-11-03,Monday,VJ12,9,13:40:00,13,3
2025-11-03,Monday,VJ13,9,14:10:00,14,2
2025-11-03,Monday,VJ14,9,14:40:00,14,3
2025-11-03,Monday,VJ15,9,15:10:00,15,2
2025-11-03,Monday,VJ16,9,15:40:00,15,0
2025-11-03,Monday,VJ17,9,16:10:00,16,48
2025-11-03,Monday,VJ18,9,16:40:00,16,20
2025-11-03,Monday,VJ19,9,17:10:00,17,16
2025-11-03,Monday,VJ20,9,17:40:00,17,18
2025-11-03,Monday,VJ21,9,18:10:00,18,17
2025-11-03,Monday,VJ22,9,07:52:00,7,10
2025-11-03,Monday,VJ23,9,08:22:00,8,10
2025-11-03,Monday,VJ24,9,09:02:00,9,19
2025-11-03,Monday,VJ25,9,09:22:00,9,18
2025-11-03,Monday,VJ26,9,09:42:00,9,15
2025-11-03,Monday,VJ27,9,10:12:00,10,1
2025-11-03,Monday,VJ28,9,10:42:00,10,0
2025-11-03,Monday,VJ29,9,11:12:00,11,1
2025-11-03,Monday,VJ30,9,11:42:00,11,2
2025-11-03,Monday,VJ31,9,12:12:00,12,3
2025-11-03,Monday,VJ32,9,12:42:00,12,3
2025-11-03,Monday,VJ33,9,13:12:00,13,1
2025-11-03,Monday,VJ34,9,13:42:00,13,2
2025-11-03,Monday,VJ35,9,14:12:00,14,1
2025-11-03,Monday,VJ36,9,14:42:00,14,3
2025-11-03,Monday,VJ37,9,15:12:00,15,3
2025-11-03,Monday,VJ38,9,15:42:00,15,0
2025-11-03,Monday,VJ39,9,16:12:00,16,10
2025-11-03,Monday,VJ40,9,16:42:00,16,10
2025-11-03,Monday,VJ41,9,17:12:00,17,18
2025-11-03,Monday,VJ42,9H,17:42:00,17,19
2025-11-03,Monday,VJ43,9H,18:12:00,18,10
2025-11-03,Monday,VJ44,9H,18:42:00,18,23
2025-11-04,Tuesday,VJ1,9,07:20:00,7,20
2025-11-04,Tuesday,VJ2,9,07:50:00,7,5
2025-11-04,Tuesday,VJ3,9,08:30:00,8,21
2025-11-04,Tuesday,VJ4,9,09:10:00,9,19
2025-11-04,Tuesday,VJ5,9,09:40:00,9,17
2025-11-04,Tuesday,VJ6,9,10:10:00,10,0
2025-11-04,Tuesday,VJ7,9,10:40:00,10,1
2025-11-04,Tuesday,VJ8,9,11:10:00,11,3
2025-11-04,Tuesday,VJ9,9,11:40:00,11,1
2025-11-04,Tuesday,VJ10,9,12:10:00,12,2
2025-11-04,Tuesday,VJ11,9,13:10:00,13,3
2025-11-04,Tuesday,VJ12,9,13:40:00,13,2
2025-11-04,Tuesday,VJ13,9,14:10:00,14,0
2025-11-04,Tuesday,VJ14,9,14:40:00,14,3
2025-11-04,Tuesday,VJ15,9,15:10:00,15,3
2025-11-04,Tuesday,VJ16,9,15:40:00,15,0
2025-11-04,Tuesday,VJ17,9,16:10:00,16,19
2025-11-04,Tuesday,VJ18,9,16:40:00,16,23
2025-11-04,Tuesday,VJ19,9,17:10:00,17,20
2025-11-04,Tuesday,VJ20,9,17:40:00,17,11
2025-11-04,Tuesday,VJ21,9,18:10:00,18,13
2025-11-04,Tuesday,VJ22,9,07:52:00,7,22
2025-11-04,Tuesday,VJ23,9,08:22:00,8,7
2025-11-04,Tuesday,VJ24,9,09:02:00,9,18
2025-11-04,Tuesday,VJ25,9,09:22:00,9,20
2025-11-04,Tuesday,VJ26,9,09:42:00,9,19
2025-11-04,Tuesday,VJ27,9,10:12:00,10,1
2025-11-04,Tuesday,VJ28,9,10:42:00,10,3
2025-11-04,Tuesday,VJ29,9,11:12:00,11,1
2025-11-04,Tuesday,VJ30,9,11:42:00,11,2
2025-11-04,Tuesday,VJ31,9,12:12:00,12,0
2025-11-04,Tuesday,VJ32,9,12:42:00,12,0
2025-11-04,Tuesday,VJ33,9,13:12:00,13,2
2025-11-04,Tuesday,VJ34,9,13:42:00,13,3
2025-11-04,Tuesday,VJ35,9,14:12:00,14,2
2025-11-04,Tuesday,VJ36,9,14:42:00,14,1
2025-11-04,Tuesday,VJ37,9,15:12:00,15,3
2025-11-04,Tuesday,VJ38,9,15:42:00,15,2
2025-11-04,Tuesday,VJ39,9,16:12:00,16,7
2025-11-04,Tuesday,VJ40,9,16:42:00,16,10
2025-11-04,Tuesday,VJ41,9,17:12:00,17,18
2025-11-04,Tuesday,VJ42,9H,17:42:00,17,48
2025-11-04,Tuesday,VJ43,9H,18:12:00,18,16
2025-11-04,Tuesday,VJ44,9H,18:42:00,18,16
2025-11-05,Wednesday,VJ1,9,07:20:00,7,18
2025-11-05,Wednesday,VJ2,9,07:50:00,7,14
2025-11-05,Wednesday,VJ3,9,08:30:00,8,5
2025-11-05,Wednesday,VJ4,9,09:10:00,9,11
2025-11-05,Wednesday,VJ5,9,09:40:00,9,13
2025-11-05,Wednesday,VJ6,9,10:10:00,10,2
2025-11-05,Wednesday,VJ7,9,10:40:00,10,0
2025-11-05,Wednesday,VJ8,9,11:10:00,11,3
2025-11-05,Wednesday,VJ9,9,11:40:00,11,3
2025-11-05,Wednesday,VJ10,9,12:10:00,12,3
2025-11-05,Wednesday,VJ11,9,13:10:00,13,2
2025-11-05,Wednesday,VJ12,9,13:40:00,13,0
2025-11-05,Wednesday,VJ13,9,14:10:00,14,2
2025-11-05,Wednesday,VJ14,9,14:40:00,14,3
2025-11-05,Wednesday,VJ15,9,15:10:00,15,0
2025-11-05,Wednesday,VJ16,9,15:40:00,15,2
2025-11-05,Wednesday,VJ17,9,16:10:00,16,12
2025-11-05,Wednesday,VJ18,9,16:40:00,16,18
2025-11-05,Wednesday,VJ19,9,17:10:00,17,21
2025-11-05,Wednesday,VJ20,9,17:40:00,17,9
2025-11-05,Wednesday,VJ21,9,18:10:00,18,22
2025-11-05,Wednesday,VJ22,9,07:52:00,7,19
2025-11-05,Wednesday,VJ23,9,08:22:00,8,7
2025-11-05,Wednesday,VJ24,9,09:02:00,9,10
2025-11-05,Wednesday,VJ25,9,09:22:00,9,16
2025-11-05,Wednesday,VJ26,9,09:42:00,9,13
2025-11-05,Wednesday,VJ27,9,10:12:00,10,1
2025-11-05,Wednesday,VJ28,9,10:42:00,10,1
2025-11-05,Wednesday,VJ29,9,11:12:00,11,2
2025-11-05,Wednesday,VJ30,9,11:42:00,11,3
2025-11-05,Wednesday,VJ31,9,12:12:00,12,0
2025-11-05,Wednesday,VJ32,9,12:42:00,12,0
2025-11-05,Wednesday,VJ33,9,13:12:00,13,2
2025-11-05,Wednesday,VJ34,9,13:42:00,13,3
2025-11-05,Wednesday,VJ35,9,14:12:00,14,0
2025-11-05,Wednesday,VJ36,9,14:42:00,14,2
2025-11-05,Wednesday,VJ37,9,15:12:00,15,2
2025-11-05,Wednesday,VJ38,9,15:42:00,15,1
2025-11-05,Wednesday,VJ39,9,16:12:00,16,16
2025-11-05,Wednesday,VJ40,9,16:42:00,16,19
2025-11-05,Wednesday,VJ41,9,17:12:00,17,13
2025-11-05,Wednesday,VJ42,9H,17:42:00,17,12
2025-11-05,Wednesday,VJ43,9H,18:12:00,18,12
2025-11-05,Wednesday,VJ44,9H,18:42:00,18,63
2025-11-06,Thursday,VJ1,9,07:20:00,7,23
2025-11-06,Thursday,VJ2,9,07:50:00,7,7
2025-11-06,Thursday,VJ3,9,08:30:00,8,9
2025-11-06,Thursday,VJ4,9,09:10:00,9,19
2025-11-06,Thursday,VJ5,9,09:40:00,9,13
2025-11-06,Thursday,VJ6,9,10:10:00,10,2
2025-11-06,Thursday,VJ7,9,10:40:00,10,2
2025-11-06,Thursday,VJ8,9,11:10:00,11,1
2025-11-06,Thursday,VJ9,9,11:40:00,11,3
2025-11-06,Thursday,VJ10,9,12:10:00,12,2
2025-11-06,Thursday,VJ11,9,13:10:00,13,0
